id,product_id,disliked_id
1120,2504,2
1121,2504,0
1122,2505,0
1123,2505,13
1124,2505,2
1125,2506,2
1126,2506,0
1127,2506,19
1128,2517,7
1129,2517,19
1130,2517,13
1131,2519,2
1132,2519,15
1133,2519,7
1134,2519,19
1135,2520,2
1136,2520,15
1137,2520,7
1138,2520,19
1139,2521,13
1140,2521,7
1141,2521,2
1142,2521,14
1143,2521,10
1144,2522,2
1145,2522,0
1146,2522,13
1147,2523,2
1148,2523,0
1149,2523,13
1150,2524,2
1151,2524,0
1152,2524,13
1153,2525,2
1154,2525,15
1155,2525,7
1156,2525,19
1157,2533,2
1158,2533,0
1159,2533,15
1160,2533,14
1161,2533,7
1162,2534,13
1163,2534,2
1164,2536,13
1165,2536,2
1166,2536,0
1167,2536,15
1168,2536,7
1169,2537,13
1170,2537,2
1171,2537,15
1172,2537,7
1173,2541,13
1174,2541,2
1175,2541,7
1176,2541,11
1177,2541,15
1178,2542,2
1179,2542,0
1180,2542,15
1181,2542,14
1182,2542,7
1183,2544,13
1184,2544,2
1185,2544,0
1186,2544,15
1187,2544,7
1188,2546,2
1189,2546,0
1190,2547,2
1191,2547,5
1192,2547,0
1193,2549,2
1194,2551,2
1195,2551,13
1196,2552,2
1197,2552,13
1198,2553,2
1199,2553,13
1200,2554,2
1201,2554,13
1202,2554,0
1203,2554,4
1204,2555,2
1205,2555,13
1206,2555,0
1207,2555,4
1208,2558,13
1209,2558,14
1210,2559,13
1211,2559,14
1212,2564,2
1213,2564,13
1214,2564,14
1215,2565,13
1216,2565,14
1217,2568,2
1218,2568,13
1219,2571,2
1220,2571,13
1221,2571,14
1222,2572,2
1223,2572,13
1224,2572,19
1225,2572,14
1226,2575,13
1227,2575,2
1228,2576,13
1229,2578,13
1230,2578,2
1231,2579,7
1232,2579,13
1233,2579,14
1234,2580,13
